Period,Regional_Team,Practice_Code,BNF_Chapter_Code,BNF_Chapter_Name,BNF_Chemical_Substance,BNF_Description,Items,Net_Ingredient_Cost_GBP,Actual_Cost_GBP,Cost_Per_Item_GBP
202512,London,Y17790,02,Cardiovascular System,Amlodipine,Amlodipine 5mg tabs,93,£69.75,£66.97,£0.72
202512,East of England,Y16024,04,Central Nervous System,Amitriptyline,Amitriptyline 10mg tabs,46,£27.60,£26.64,£0.58
202512,East of England,Y19397,03,Respiratory System,Salbutamol,Salbutamol 100mcg inhaler,44,£92.40,£89.31,£2.03
202512,East of England,Y16456,01,Gastro-Intestinal System,Omeprazole,Omeprazole 20mg caps,32,£38.40,£37.77,£1.18
202512,North West,Y18070,06,Endocrine System,Levothyroxine,Levothyroxine 50mcg tabs,65,£61.75,£64.34,£0.99
202512,North East and Yorkshire,Y15299,02,Cardiovascular System,Ramipril,Ramipril 5mg caps,24,£20.40,£19.74,£0.82
202512,North West,Y15588,06,Endocrine System,Levothyroxine,Levothyroxine 50mcg tabs,102,£96.90,£94.19,£0.92
202512,North East and Yorkshire,Y19984,01,Gastro-Intestinal System,Omeprazole,Omeprazole 20mg caps,39,£46.80,£45.32,£1.16
202512,South West,Y17311,06,Endocrine System,Levothyroxine,Levothyroxine 50mcg tabs,38,£36.10,£34.43,£0.91
202512,Midlands,Y14926,03,Respiratory System,Fluticasone,Fluticasone 125mcg inhaler,66,£429.00,£428.87,£6.50
202512,North West,Y13462,04,Central Nervous System,Sertraline,Sertraline 50mg tabs,14,£19.60,£20.54,£1.47
202512,London,Y13675,06,Endocrine System,Levothyroxine,Levothyroxine 50mcg tabs,43,£40.85,£39.54,£0.92
202512,South East,Y15005,02,Cardiovascular System,Ramipril,Ramipril 5mg caps,16,£13.60,£13.83,£0.86
202512,South East,Y16035,02,Cardiovascular System,Ramipril,Ramipril 5mg caps,83,£70.55,£73.45,£0.88
202512,South East,Y11279,03,Respiratory System,Fluticasone,Fluticasone 125mcg inhaler,52,£338.00,£349.18,£6.72
202512,Midlands,Y18173,01,Gastro-Intestinal System,Lansoprazole,Lansoprazole 30mg caps,29,£43.50,£43.79,£1.51
202512,North East and Yorkshire,Y17368,01,Gastro-Intestinal System,Lansoprazole,Lansoprazole 30mg caps,41,£61.50,£62.32,£1.52
202512,South East,Y15475,03,Respiratory System,Fluticasone,Fluticasone 125mcg inhaler,29,£188.50,£196.31,£6.77
202512,South East,Y18041,01,Gastro-Intestinal System,Lansoprazole,Lansoprazole 30mg caps,40,£60.00,£61.32,£1.53
202512,North West,Y13067,06,Endocrine System,Metformin,Metformin 500mg tabs,89,£97.90,£98.09,£1.10
202512,Midlands,Y17679,03,Respiratory System,Salbutamol,Salbutamol 100mcg inhaler,92,£193.20,£191.06,£2.08
202512,London,Y19977,04,Central Nervous System,Sertraline,Sertraline 50mg tabs,52,£72.80,£70.14,£1.35
202512,South East,Y16122,04,Central Nervous System,Amitriptyline,Amitriptyline 10mg tabs,88,£52.80,£52.78,£0.60
202512,North West,Y17970,02,Cardiovascular System,Atorvastatin,Atorvastatin 20mg tabs,28,£25.20,£25.67,£0.92
202512,Midlands,Y19828,03,Respiratory System,Fluticasone,Fluticasone 125mcg inhaler,43,£279.50,£282.02,£6.56
202512,South East,Y11750,04,Central Nervous System,Amitriptyline,Amitriptyline 10mg tabs,31,£18.60,£19.03,£0.61
202512,North West,Y18238,06,Endocrine System,Levothyroxine,Levothyroxine 50mcg tabs,53,£50.35,£48.09,£0.91
202512,South East,Y16737,02,Cardiovascular System,Ramipril,Ramipril 5mg caps,3,£2.55,£2.53,£0.84
202512,Midlands,Y12667,04,Central Nervous System,Amitriptyline,Amitriptyline 10mg tabs,27,£16.20,£16.44,£0.61
202512,London,Y15468,04,Central Nervous System,Sertraline,Sertraline 50mg tabs,43,£60.20,£59.09,£1.37
202512,North East and Yorkshire,Y18930,01,Gastro-Intestinal System,Omeprazole,Omeprazole 20mg caps,29,£34.80,£33.87,£1.17
202512,London,Y10271,02,Cardiovascular System,Amlodipine,Amlodipine 5mg tabs,60,£45.00,£44.91,£0.75
202512,London,Y13760,04,Central Nervous System,Amitriptyline,Amitriptyline 10mg tabs,25,£15.00,£15.03,£0.60
202512,East of England,Y11828,03,Respiratory System,Salbutamol,Salbutamol 100mcg inhaler,5,£10.50,£10.38,£2.08
202512,Midlands,Y11868,06,Endocrine System,Metformin,Metformin 500mg tabs,14,£15.40,£16.08,£1.15
202512,South West,Y17274,02,Cardiovascular System,Atorvastatin,Atorvastatin 20mg tabs,36,£32.40,£33.47,£0.93
202512,South East,Y18245,02,Cardiovascular System,Atorvastatin,Atorvastatin 20mg tabs,28,£25.20,£24.82,£0.89
202512,South West,Y14876,01,Gastro-Intestinal System,Omeprazole,Omeprazole 20mg caps,27,£32.40,£33.42,£1.24
202512,South East,Y11218,06,Endocrine System,Metformin,Metformin 500mg tabs,11,£12.10,£11.83,£1.08
202512,North East and Yorkshire,Y14133,01,Gastro-Intestinal System,Lansoprazole,Lansoprazole 30mg caps,41,£61.50,£60.94,£1.49
202512,East of England,Y14036,03,Respiratory System,Salbutamol,Salbutamol 100mcg inhaler,42,£88.20,£84.76,£2.02
202512,London,Y19477,06,Endocrine System,Metformin,Metformin 500mg tabs,64,£70.40,£72.97,£1.14
202512,North West,Y14286,03,Respiratory System,Fluticasone,Fluticasone 125mcg inhaler,37,£240.50,£245.25,£6.63
202512,Midlands,Y13741,03,Respiratory System,Fluticasone,Fluticasone 125mcg inhaler,37,£240.50,£228.60,£6.18
202512,South West,Y19882,02,Cardiovascular System,Amlodipine,Amlodipine 5mg tabs,29,£21.75,£21.29,£0.73
202512,London,Y19109,01,Gastro-Intestinal System,Omeprazole,Omeprazole 20mg caps,13,£15.60,£15.29,£1.18
202512,South West,Y14799,01,Gastro-Intestinal System,Lansoprazole,Lansoprazole 30mg caps,40,£60.00,£62.11,£1.55
202512,North West,Y19645,06,Endocrine System,Levothyroxine,Levothyroxine 50mcg tabs,18,£17.10,£17.56,£0.98
202512,South East,Y11098,02,Cardiovascular System,Atorvastatin,Atorvastatin 20mg tabs,33,£29.70,£29.78,£0.90
202512,South West,Y13598,04,Central Nervous System,Paracetamol,Paracetamol 500mg tabs,17,£8.50,£8.35,£0.49
202512,East of England,Y12255,02,Cardiovascular System,Atorvastatin,Atorvastatin 20mg tabs,64,£57.60,£57.96,£0.91
202512,North East and Yorkshire,Y10959,03,Respiratory System,Fluticasone,Fluticasone 125mcg inhaler,18,£117.00,£117.36,£6.52
202512,South West,Y11875,04,Central Nervous System,Sertraline,Sertraline 50mg tabs,35,£49.00,£48.81,£1.39
202512,Midlands,Y13788,04,Central Nervous System,Sertraline,Sertraline 50mg tabs,33,£46.20,£47.57,£1.44
202512,East of England,Y12720,01,Gastro-Intestinal System,Lansoprazole,Lansoprazole 30mg caps,14,£21.00,£20.96,£1.50
202512,South West,Y13174,02,Cardiovascular System,Amlodipine,Amlodipine 5mg tabs,35,£26.25,£25.14,£0.72
202512,Midlands,Y18508,02,Cardiovascular System,Amlodipine,Amlodipine 5mg tabs,4,£3.00,£2.88,£0.72
202512,South West,Y18442,03,Respiratory System,Salbutamol,Salbutamol 100mcg inhaler,42,£88.20,£90.86,£2.16
202512,North East and Yorkshire,Y14904,03,Respiratory System,Fluticasone,Fluticasone 125mcg inhaler,20,£130.00,£129.75,£6.49
202512,Midlands,Y13638,04,Central Nervous System,Paracetamol,Paracetamol 500mg tabs,99,£49.50,£50.07,£0.51
202512,North West,Y17057,04,Central Nervous System,Sertraline,Sertraline 50mg tabs,27,£37.80,£37.79,
